optimizer,radius,direction,baseline_loss,positive_loss,negative_loss,worst_loss,loss_increase,baseline_accuracy,worst_accuracy
Muon,0.001,0,0.43917661795922375,0.4390986343042566,0.4392542500014699,0.4392542500014699,7.763204224614517e-05,0.8279816513761468,0.8291284403669725
Muon,0.001,1,0.43917661795922375,0.43921376094905606,0.4391388871254177,0.43921376094905606,3.714298983231723e-05,0.8279816513761468,0.8279816513761468
Muon,0.001,2,0.43917661795922375,0.43919435580936045,0.43915822992631054,0.43919435580936045,1.7737850136700928e-05,0.8279816513761468,0.8279816513761468
Muon,0.001,3,0.43917661795922375,0.4391605936059164,0.4391927607015732,0.4391927607015732,1.614274234945645e-05,0.8279816513761468,0.8279816513761468
Muon,0.001,4,0.43917661795922375,0.4393802416433982,0.43898151145068876,0.4393802416433982,0.00020362368417442545,0.8279816513761468,0.8268348623853211
Muon,0.005,0,0.43917661795922375,0.4387832409744963,0.43956107311292525,0.43956107311292525,0.00038445515370150174,0.8279816513761468,0.8302752293577982
Muon,0.005,1,0.43917661795922375,0.43935705078851195,0.43898190188845365,0.43935705078851195,0.0001804328292882018,0.8279816513761468,0.8268348623853211
Muon,0.005,2,0.43917661795922375,0.43925884912867064,0.4390786560850406,0.43925884912867064,8.223116944688913e-05,0.8279816513761468,0.8256880733944955
Muon,0.005,3,0.43917661795922375,0.4390974337354713,0.4392585784470269,0.4392585784470269,8.196048780317877e-05,0.8279816513761468,0.8291284403669725
Muon,0.005,4,0.43917661795922375,0.4402796546800421,0.43828680837919953,0.4402796546800421,0.0011030367208183511,0.8279816513761468,0.8268348623853211
Muon,0.01,0,0.43917661795922375,0.43838171592546166,0.4399362602911958,0.4399362602911958,0.0007596423319720658,0.8279816513761468,0.8302752293577982
Muon,0.01,1,0.43917661795922375,0.4395258913346387,0.4387705651445126,0.4395258913346387,0.0003492733754149602,0.8279816513761468,0.8268348623853211
Muon,0.01,2,0.43917661795922375,0.4393244462275724,0.4389660568959122,0.4393244462275724,0.0001478282683486376,0.8279816513761468,0.8245412844036697
Muon,0.01,3,0.43917661795922375,0.43902013717441385,0.4393442986755196,0.4393442986755196,0.00016768071629585934,0.8279816513761468,0.8279816513761468
Muon,0.01,4,0.43917661795922375,0.441593799842607,0.43761197580110045,0.441593799842607,0.002417181883383246,0.8279816513761468,0.8302752293577982
AdamW,0.001,0,0.4502805132384694,0.45022738417354197,0.4503337464748173,0.4503337464748173,5.323323634787158e-05,0.8268348623853211,0.8268348623853211
AdamW,0.001,1,0.4502805132384694,0.4501869763256213,0.45037507436691077,0.45037507436691077,9.456112844136166e-05,0.8268348623853211,0.8268348623853211
AdamW,0.001,2,0.4502805132384694,0.4502756568269992,0.45028575817379385,0.45028575817379385,5.244935324444366e-06,0.8268348623853211,0.8268348623853211
AdamW,0.001,3,0.4502805132384694,0.4502637435536866,0.45029976526531607,0.45029976526531607,1.9252026846661163e-05,0.8268348623853211,0.8268348623853211
AdamW,0.001,4,0.4502805132384694,0.45088965794362057,0.4496857559462206,0.45088965794362057,0.0006091447051511656,0.8268348623853211,0.8268348623853211
AdamW,0.005,0,0.4502805132384694,0.4500162869418433,0.45054779605034295,0.45054779605034295,0.0002672828118735482,0.8268348623853211,0.8268348623853211
AdamW,0.005,1,0.4502805132384694,0.44982334287888415,0.450763615719769,0.450763615719769,0.0004831024812995688,0.8268348623853211,0.8268348623853211
AdamW,0.005,2,0.4502805132384694,0.4502598479253436,0.45031137012560435,0.45031137012560435,3.085688713494461e-05,0.8268348623853211,0.8279816513761468
AdamW,0.005,3,0.4502805132384694,0.45022086457374993,0.4504021619438031,0.4504021619438031,0.00012164870533371008,0.8268348623853211,0.8279816513761468
AdamW,0.005,4,0.4502805132384694,0.45347087891823656,0.447449142779779,0.45347087891823656,0.00319036567976716,0.8268348623853211,0.8291284403669725
AdamW,0.01,0,0.4502805132384694,0.4497558097226904,0.45081770830198165,0.45081770830198165,0.0005371950635122413,0.8268348623853211,0.8279816513761468
AdamW,0.01,1,0.4502805132384694,0.4493925065622417,0.45127235366663804,0.45127235366663804,0.0009918404281686333,0.8268348623853211,0.8279816513761468
AdamW,0.01,2,0.4502805132384694,0.450246659167316,0.45035534030800567,0.45035534030800567,7.482706953626517e-05,0.8268348623853211,0.8291284403669725
AdamW,0.01,3,0.4502805132384694,0.4502199945646688,0.4505890255127478,0.4505890255127478,0.0003085122742784163,0.8268348623853211,0.8302752293577982
AdamW,0.01,4,0.4502805132384694,0.4570285579480162,0.4449699269522221,0.4570285579480162,0.006748044709546819,0.8268348623853211,0.8325688073394495
